country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","16-12-2025 15:00:00",16.554731,80.649110,SO2,14,18,16
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,OZONE,12,36,23
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,SO2,2,23,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","16-12-2025 15:00:00",26.187500,91.744194,OZONE,17,18,17
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,PM2.5,45,125,87
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,NH3,7,7,7
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","16-12-2025 15:00:00",13.204880,79.097889,NH3,6,7,7
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,PM10,46,92,74
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,NO2,20,26,24
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,NH3,3,3,3
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,SO2,12,15,14
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,NO2,18,76,40
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,NH3,3,9,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,SO2,2,28,17
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","16-12-2025 15:00:00",11.654054,92.734055,CO,14,46,27
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","16-12-2025 15:00:00",16.486692,80.699436,PM2.5,32,57,47
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","16-12-2025 15:00:00",13.67,79.35,NO2,13,22,18
India,Assam,Silchar,"Tarapur, Silchar - PCBA","16-12-2025 15:00:00",24.82827,92.79525,PM2.5,36,80,55
India,Assam,Silchar,"Tarapur, Silchar - PCBA","16-12-2025 15:00:00",24.82827,92.79525,PM10,49,58,54
India,Assam,Silchar,"Tarapur, Silchar - PCBA","16-12-2025 15:00:00",24.82827,92.79525,SO2,4,9,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA","16-12-2025 15:00:00",24.82827,92.79525,OZONE,1,8,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,CO,14,105,30
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","16-12-2025 15:00:00",26.146529,87.454184,NO2,2,99,15
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","16-12-2025 15:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","16-12-2025 15:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","16-12-2025 15:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","16-12-2025 15:00:00",24.75746,84.366208,CO,101,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,PM10,108,410,170
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,SO2,57,74,63
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","16-12-2025 15:00:00",25.42742023,86.13886079,CO,37,79,55
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.251013,86.989001,PM10,24,117,81
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","16-12-2025 15:00:00",25.265194,87.012947,NH3,4,16,8
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","16-12-2025 15:00:00",25.204762,85.514960,NO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","16-12-2025 15:00:00",25.567520,83.966379,NH3,3,3,3
